line,S1,S2,S3,S4,S5,stars
1,26,25,10,8,8,2
2,0,0,1,2,3,5
3,0,0,0,1,6,5
4,18,14,8,7,6,2
5,2,2,3,5,4,4
6,4,5,7,7,4,4
7,1,0,3,5,3,4
8,5,4,5,17,28,5
9,0,2,3,0,2,4
10,0,1,1,4,9,5
11,7,4,2,0,1,2
12,0,0,1,2,6,5
13,1,1,0,0,9,5
14,7,6,3,1,6,4
15,22,20,16,5,16,2
16,0,1,1,3,5,5
17,7,3,2,12,16,5
18,0,0,0,4,9,5
19,46,40,25,11,14,2
20,15,16,10,6,1,1
21,2,2,1,7,8,5
22,2,5,5,4,6,4
23,15,10,11,16,25,5
24,17,22,26,53,39,4
25,9,10,15,7,32,5
26,3,4,2,3,11,5
27,7,5,4,5,11,5
28,1,0,1,1,10,5
29,3,4,4,5,8,3
30,10,8,3,1,2,3
31,9,7,8,8,9,4
32,5,5,3,0,0,3
33,85,71,39,38,54,3
34,14,16,9,6,12,2
35,5,12,12,29,24,4
36,8,1,0,8,20,5
37,2,2,4,7,19,5
38,4,5,3,2,6,5
39,3,4,3,0,4,2
40,13,9,3,0,2,1
41,27,23,18,25,50,5
42,9,12,13,4,1,3
43,15,8,10,5,13,5
44,0,1,1,1,4,5
45,11,13,20,28,13,3
46,11,14,16,16,26,5
47,9,7,4,3,7,4
48,0,3,4,11,8,4
49,2,3,9,12,5,4
50,11,6,6,3,14,5
51,40,14,7,3,10,4
52,1,2,2,0,1,5
53,0,0,3,1,7,5
54,8,5,1,4,5,5
55,0,0,3,11,10,4
56,0,0,0,2,3,5
57,0,1,3,3,2,4
58,34,31,11,2,9,1
59,0,0,0,1,4,4
60,7,11,11,5,5,2
61,0,0,0,9,3,5
62,10,9,15,32,26,4
63,0,1,1,25,13,4
64,0,0,1,11,19,5
65,15,18,16,13,16,4
66,2,1,1,5,8,5
67,8,7,3,7,11,4
68,6,2,3,18,11,5
69,5,10,13,10,5,2
70,1,0,0,4,12,5
71,2,2,7,8,14,4
72,5,1,3,4,9,5
73,5,3,4,14,20,5
74,0,0,0,1,4,5
75,9,4,5,8,16,5
76,9,6,0,1,8,5
77,4,4,5,6,8,5
78,30,20,17,7,14,5
79,12,10,10,16,22,4
80,2,2,2,6,7,5
81,3,3,4,13,6,3
82,1,0,0,11,10,4
83,1,1,3,9,6,4
84,15,11,13,17,24,5
85,14,9,13,5,6,4
86,41,38,26,20,14,2
87,14,17,28,41,26,4
88,17,11,2,1,3,1
89,2,6,7,7,5,4
90,1,0,3,8,7,4
91,31,22,28,39,52,5
92,9,17,9,3,7,2
93,6,10,7,2,3,4
94,5,2,4,10,10,5
95,2,2,2,4,4,4
96,26,11,5,3,1,1
97,2,4,6,2,0,2
98,13,15,8,7,4,3
99,6,9,17,16,9,3
100,12,7,5,8,6,5
101,10,4,8,11,12,4
102,4,5,11,27,15,4
103,1,0,1,3,10,5
104,0,0,3,6,6,4
105,0,1,2,2,11,5
106,7,1,0,12,28,5
107,8,4,10,31,19,4
108,0,0,0,4,16,5
109,1,2,1,0,3,5
110,0,0,0,4,4,4
111,5,8,7,6,5,5
112,0,0,1,1,0,4
113,3,5,8,16,8,4
114,1,1,2,6,8,5
115,14,19,28,17,10,3
116,1,2,4,8,5,4
117,3,4,4,4,4,4
118,4,3,10,10,2,4
119,0,0,0,1,10,5
120,1,0,0,1,3,5
121,15,5,6,9,7,3
122,4,6,7,16,24,5
123,0,0,0,2,5,5
124,0,2,3,3,2,5
125,1,2,1,6,15,5
126,2,1,1,7,10,5
127,53,27,12,12,4,1
128,23,17,11,44,42,5
129,5,5,9,1,6,1
130,3,1,3,2,12,5
131,10,10,22,16,17,5
132,2,3,1,10,23,5
133,12,11,13,13,12,4
134,0,3,5,2,4,3
135,0,0,0,0,1,4
136,0,4,8,6,3,2
137,1,0,0,1,12,4
138,4,3,7,14,21,5
139,0,2,5,7,8,4
140,14,10,5,2,7,2
141,2,3,2,2,1,2
142,6,5,5,5,14,4
143,0,0,0,5,2,4
144,20,12,6,5,9,5
145,2,3,3,5,9,5
146,5,4,3,6,9,5
147,5,2,7,11,10,4
148,1,2,2,5,5,4
149,7,4,6,7,8,3
150,13,10,8,10,5,3
151,2,10,11,7,8,3
152,30,28,14,7,7,2
153,1,1,2,5,4,4
154,0,0,1,3,8,5
155,7,8,8,2,6,2
156,1,1,5,3,7,5
157,3,2,4,6,18,4
158,1,3,5,5,5,3
159,2,3,8,9,26,5
160,4,4,3,2,2,1
161,0,0,0,2,7,5
162,3,3,1,3,3,4
163,18,16,13,9,4,2
164,0,0,1,4,11,5
165,4,12,16,13,15,4
166,2,2,5,1,3,3
167,0,1,1,3,6,5
168,5,3,3,3,8,5
169,7,7,6,14,19,5
170,7,8,5,0,0,2
171,20,18,8,7,13,5
172,12,10,17,10,10,4
173,0,1,1,7,11,4
174,1,3,2,2,0,2
175,12,19,16,4,5,3
176,15,8,11,16,15,4
177,20,12,2,5,4,2
178,18,24,14,8,6,2
179,5,8,7,0,1,2
180,52,48,25,7,16,2
181,2,2,2,4,7,5
182,12,2,0,7,6,4
183,6,6,0,0,2,2
184,72,49,19,22,32,2
185,1,1,3,12,3,4
186,33,21,27,24,16,4
187,13,11,6,10,22,5
188,5,6,3,0,1,3
189,5,4,4,8,7,4
190,5,5,2,0,1,1
191,1,1,5,6,5,5
192,2,3,7,13,8,4
193,0,0,0,1,4,5
194,0,0,1,6,5,4
195,19,14,10,3,3,1
196,1,2,3,6,5,4
197,30,19,14,16,12,4
198,14,9,1,1,9,1
199,13,17,20,14,22,5
200,3,1,0,2,10,5
201,10,8,5,3,5,3
202,1,1,0,2,16,5
203,13,17,22,20,31,4
204,16,19,5,8,8,3
205,2,1,4,8,7,5
206,4,2,3,9,6,5
207,4,2,5,11,15,4
208,0,0,0,5,9,5
209,18,12,8,3,0,1
210,11,4,6,7,21,5
211,12,7,3,1,7,4
212,3,2,5,9,12,5
213,1,2,2,0,12,5
214,2,3,3,1,6,3
215,0,0,0,2,5,5
216,10,8,8,17,19,5
217,2,1,2,3,9,5
218,0,0,0,3,6,5
219,9,6,4,9,24,5
220,43,25,13,0,6,1
221,1,3,3,8,5,4
222,26,20,21,26,35,5
223,4,3,1,2,18,5
224,0,1,4,1,0,3
225,17,12,8,8,17,5
226,4,4,1,6,6,5
227,10,8,9,9,11,4
228,4,8,11,10,5,2
229,0,0,3,16,11,5
